_address	deviceId	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
0	1	L1-N_Spannung		V	floatbe	2	1	0		level		false	false
2	1	L2-N_Spannung		V	floatbe	2	1	0		level		false	false
4	1	L3-N_Spannung		V	floatbe	2	1	0		level		false	false
6	1	L1_Strom		A	floatbe	2	1	0		level		false	false
8	1	L2_Strom		A	floatbe	2	1	0		level		false	false
10	1	L3_Strom		A	floatbe	2	1	0		level		false	false
12	1	L1_Wirkleistung		W	floatbe	2	1	0		level		false	false
14	1	L2_Wirkleistung		W	floatbe	2	1	0		level		false	false
16	1	L3_Wirkleistung		W	floatbe	2	1	0		level		false	false
18	1	L1_Scheinleistung		VA	floatbe	2	1	0		level		false	false
20	1	L2_Scheinleistung		VA	floatbe	2	1	0		level		false	false
22	1	L3_Scheinleistung		VA	floatbe	2	1	0		level		false	false
24	1	L1_Blindleistung		var	floatbe	2	1	0		level		false	false
26	1	L2_Blindleistung		var	floatbe	2	1	0		level		false	false
28	1	L3_Blindleistung		var	floatbe	2	1	0		level		false	false
30	1	L1_Leistungsfaktor			floatbe	2	1	0		level		false	false
32	1	L2_Leistungsfaktor			floatbe	2	1	0		level		false	false
34	1	L3_Leistungsfaktor			floatbe	2	1	0		level		false	false
36	1	L1_Phasenwinkel		Grad	floatbe	2	1	0		level		false	false
38	1	L2_Phasenwinkel		Grad	floatbe	2	1	0		level		false	false
40	1	L3_Phasenwinkel		Grad	floatbe	2	1	0		level		false	false
42	1	Durchschnitt_Spannung_Phase_zu_N		V	floatbe	2	1	0		level		false	false
46	1	Durchschnitt_Strom		A	floatbe	2	1	0		level		false	false
48	1	Summe_Ströme		A	floatbe	2	1	0		level		false	false
52	1	Gesamt_Leistung		W	floatbe	2	1	0		level		false	false
56	1	Gesamt_Scheinleistung		VA	floatbe	2	1	0		level		false	false
60	1	Gesamt_Blindleistung		var	floatbe	2	1	0		level		false	false
62	1	Gesamt_Leistungsfaktor			floatbe	2	1	0		level		false	false
66	1	Gesamt_Phasenwinkel		Grad	floatbe	2	1	0		level		false	false
70	1	Frequenz		Hz	floatbe	2	1	0		level		false	false
72	1	Wirkenergie_Bezug_Wh		kWh/MWh	floatbe	2	1	0		level		false	false
74	1	Wirkenergie_Lieferung_Wh		kWh/MWh	floatbe	2	1	0		level		false	false
76	1	Blindenergie_Bezug_Wh		kvarh/Mvarh	floatbe	2	1	0		level		false	false
78	1	Blindenergie_Lieferung_Wh		kvarh/Mvarh	floatbe	2	1	0		level		false	false
80	1	Scheinenergie		kVAh/MVAh	floatbe	2	1	0		level		false	false
82	1	Amperestunden		AH/kah	floatbe	2	1	0		level		false	false
84	1	Gesamt_Leistung_demand		W	floatbe	2	1	0		level		false	false
86	1	Maximum_Leistung_demand		VA	floatbe	2	1	0		level		false	false
100	1	Gesamtsystem-VA		VA	floatbe	2	1	0		level		false	false
102	1	Maximale_Gesamtsystem-VA		VA	floatbe	2	1	0		level		false	false
104	1	Neutralleiterstrom_demand		A	floatbe	2	1	0		level		false	false
106	1	Maximaler_Neutralleiterstrom_demand		A	floatbe	2	1	0		level		false	false
200	1	L1-L2_Spannung		V	floatbe	2	1	0		level		false	false
202	1	L2-L3_Spannung		V	floatbe	2	1	0		level		false	false
204	1	L3-L1_Spannung		V	floatbe	2	1	0		level		false	false
206	1	Durchschnittliche_Leiter_zu_Leiter_Spannung		V	floatbe	2	1	0		level		false	false
224	1	Neutralleiter_Strom		A	floatbe	2	1	0		level		false	false
234	1	L1-N_Spannung_THD		%	floatbe	2	1	0		level		false	false
236	1	L2-N_Spannung_THD		%	floatbe	2	1	0		level		false	false
238	1	L3-N_Spannung_THD		%	floatbe	2	1	0		level		false	false
240	1	L1_Strom_THD		%	floatbe	2	1	0		level		false	false
242	1	L2_Strom_THD		%	floatbe	2	1	0		level		false	false
244	1	L3_Strom_THD		%	floatbe	2	1	0		level		false	false
248	1	Durchschnittliche_THD_der_Spannung_zwischen_L_und_N		%	floatbe	2	1	0		level		false	false
250	1	Durchschnittlicher_THD_des_Leitungsstroms		%	floatbe	2	1	0		level		false	false
258	1	L1_Strom_demand		A	floatbe	2	1	0		level		false	false
260	1	L2_Strom_demand		A	floatbe	2	1	0		level		false	false
262	1	L3_Strom_demand		A	floatbe	2	1	0		level		false	false
264	1	L1_Maximum_Strom_demand		A	floatbe	2	1	0		level		false	false
266	1	L2_Maximum_Strom_demand		A	floatbe	2	1	0		level		false	false
268	1	L3_Maximum_Strom_demand		A	floatbe	2	1	0		level		false	false
334	1	L1-L2_Spannung_THD		%	floatbe	2	1	0		level		false	false
336	1	L2-L3_Spannung_THD		%	floatbe	2	1	0		level		false	false
338	1	L3-L1_Spannung_THD		%	floatbe	2	1	0		level		false	false
340	1	Durchschnittliche_Leiter_zu_Leiter_Spannung_THD		%	floatbe	2	1	0		level		false	false
342	1	Total_kwh		kwh	floatbe	2	1	0		level		false	false
344	1	Total_kvarh		kvarh	floatbe	2	1	0		level		false	false
346	1	L1_Import_kwh		kwh	floatbe	2	1	0		level		false	false
348	1	L2_Import_kwh		kwh	floatbe	2	1	0		level		false	false
350	1	L3_Import_kwh		kwh	floatbe	2	1	0		level		false	false
352	1	L1_Export_kwh		kwh	floatbe	2	1	0		level		false	false
354	1	L2_Export_kwh		kwh	floatbe	2	1	0		level		false	false
356	1	L3_Export_kwh		kwh	floatbe	2	1	0		level		false	false
358	1	L1_Total_kwh		kwh	floatbe	2	1	0		level		false	false
360	1	L2_Total_kwh		kwh	floatbe	2	1	0		level		false	false
362	1	L3_Total_kwh		kwh	floatbe	2	1	0		level		false	false
