_address	deviceId	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
30002	33	 Model Number	Model-Nummer		string	8	1	0				false	false
30010	33	Serial Nummer	Seriennummer		string	8	1	0				false	false
30025	33	Com Typ	0 = keine, 2 = RS485		uint16be	1	1	0				false	false
30029	33	Memory type	0=No memory,3=8MB,4=16MB Flash		uint16be	1	1	0				false	false
30077	33	MID lock status	0=unlocked, 1=locked		uint16be	1	1	0				false	false
30104	33	Run Time	seconds		uint32be	2	1	0				false	false
30107	33	Frequency	Frequenz (Hz)	Hz	uint16be	1	0.01	0				false	false
30109	33	U1	Spannung L1 (V)	V	uint16be	1	0.1	0				false	false
30111	33	U2	Spannung L2 (V)	V	uint16be	1	0.1	0				false	false
30113	33	U3	Spannung L3 (V)	V	uint16be	1	0.1	0				false	false
30115	33	Uavg (phase to neutral)	Spannung L gegen N	V	int16be	1	0.1	0				false	false
30116	33	j12 (angle between U1 and U2)	Phasenverschiebungswinkel U1 und U2	°	int16be	1	0.01	0				false	false
30117	33	j23 (angle between U2 and U3)	Phasenverschiebungswinkel U2 und U3	°	int16be	1	0.01	0				false	false
30118	33	j31 (angle between U3 and U1)	Phasenverschiebungswinkel U3 und U1	°	int16be	1	0.01	0				false	false
30120	33	U12	Spannung L12 (V)	V	uint16be	1	0.1	0				false	false
30122	33	U23	Spannung L23 (V)	V	uint16be	1	0.1	0				false	false
30124	33	U31	Spannung L31 (V)	V	uint16be	1	0.1	0				false	false
30128	33	I1 mA	Strom I1 (mA)	mA	uint16be	1	1	0				false	false
30130	33	I2 mA	Strom I2 (mA)	mA	uint16be	1	1	0				false	false
30132	33	I3 mA	Strom I3 (mA)	mA	uint16be	1	1	0				false	false
30138	33	Ivag	Strom ...	mA	uint16be	1	1	0				false	false
30140	33	S I	Ströme addiert	mA	uint16be	1	1	0				false	false
30142	33	Active Power Total (Pt)		W	int16be	1	0.1	0				false	false
30144	33	Active Power Phase L1	Leistung L1 (W)	W	int16be	1	0.1	0				false	false
30146	33	Active Power Phase L2	Leistung L2 (W)	W	int16be	1	0.1	0				false	false
30148	33	Active Power Phase L3	Leistung L3 (W)	W	int16be	1	0.1	0				false	false
30150	33	Reactive Power Total (Qt)		var	int16be	1	0.1	0				false	false
30152	33	Reactive Power Phase L1 (Q1)		var	int16be	1	0.1	0				false	false
30154	33	Reactive Power Phase L2 (Q2)		var	int16be	1	0.1	0				false	false
30156	33	Reactive Power Phase L3 (Q3)		var	uint16be	1	0.1	0				false	false
30158	33	Apparent Power Total (St)		VA	uint16be	1	0.1	0				false	false
30160	33	Apparent Power Phase L1 (S1)		VA	uint16be	1	0.1	0				false	false
