_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
512	Z1 P+-L1	Zählertarif 1 Wirkarbeit Bezug L1 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001	0		level		false	false
516	Z1 P+-L2	Zählertarif 1 Wirkarbeit Bezug L2 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001	0		level		false	false
520	Z1 P+-L3	Zählertarif 1 Wirkarbeit Bezug L3 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001	0		level		false	false
524	Z1 ΣP+	Zählertarif 1 Wirkarbeit Bezug Σ (nicht zurücksetzbar)	kWh	uint64be	4	0,0001	0		level		false	false
528	Z1 P--L1	Zählertarif 1 Wirkarbeit Abgabe L1 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001	0		level		false	false
532	Z1 P--L2	Zählertarif 1 Wirkarbeit Abgabe L2 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001	0		level		false	false
536	Z1 P--L3	Zählertarif 1 Wirkarbeit Abgabe L3 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001	0		level		false	false
540	Z1 ΣP-	Zählertarif 1 Wirkarbeit Abgabe Σ (nicht zurücksetzbar)	kWh	uint64be	4	0,0001	0		level		false	false
544	Z1 S+i-L1	Zählertarif 1 Scheinarbeit Bezug induktiv L1 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
548	Z1 S+i-L2	Zählertarif 1 Scheinarbeit Bezug induktiv L2 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
552	Z1 S+i-L3	Zählertarif 1 Scheinarbeit Bezug induktiv L3 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
556	Z1 ΣS+i	Zählertarif 1 Scheinarbeit Bezug induktiv Σ (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
560	Z1 S-i-L1	Zählertarif 1 Scheinarbeit Abgabe induktiv L1 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
564	Z1 S-i-L2	Zählertarif 1 Scheinarbeit Abgabe induktiv L2 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
568	Z1 S-i-L3	Zählertarif 1 Scheinarbeit Abgabe induktiv L3 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
572	Z1 ΣS-i	Zählertarif 1 Scheinarbeit Abgabe induktiv Σ (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
