_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
4096	U L1-N	Leiterspannung (L1<->N) 	V	floatbe	2		0		level		false	false
4098	U L2-N	Leiterspannung (L2<->N) 	V	floatbe	2		0		level		false	false
4100	U L3-N	Leiterspannung (L3<->N) 	V	floatbe	2		0		level		false	false
4102	U L1-L2	Leiterspannung (L1<->L2)	V	floatbe	2		0		level		false	false
4104	U L2-L3	Leiterspannung (L2<->L3)	V	floatbe	2		0		level		false	false
4106	U L3-L1	Leiterspannung (L3<->L1)	V	floatbe	2		0		level		false	false
4108	U-SYS	Mittelwert der Leiterspannungen (U12 + U23 + U31) / 3	V	floatbe	2		0		level		false	false
4110	I-L1	Strom L1	A	floatbe	2		0		level		false	false
4112	I-L2	Strom L2	A	floatbe	2		0		level		false	false
4114	I-L3	Strom L3	A	floatbe	2		0		level		false	false
4116	I-N	Strom N	A	floatbe	2		0		level		false	false
4118	I-SYS	Mittelwert der Ströme (I1 + I2 + I3) / 3	A	floatbe	2		0		level		false	false
4120	PF-L1	Leistungsfaktor L1 -: kapazitiv und +: induktiv		floatbe	2		0		level		false	false
4122	PF-L2	Leistungsfaktor L3 -: kapazitiv und +: induktiv		floatbe	2		0		level		false	false
4124	PF-L3	Leistungsfaktor L3 -: kapazitiv und +: induktiv		floatbe	2		0		level		false	false
4126	ΣPF	Summe Leistungsfaktor -: kapazitiv und +: induktiv		floatbe	2		0		level		false	false
4128	P-L1	Wirkleistung L1 +/-	W	floatbe	2		0		level		false	false
4130	P-L2	Wirkleistung L2 +/-	W	floatbe	2		0		level		false	false
4132	P-L3	Wirkleistung L3 +/-	W	floatbe	2		0		level		false	false
4134	ΣP	Summe Wirkleistung +/-	W	floatbe	2		0		level		false	false
4136	S-L1	Scheinleistung L1 +/-	VA	floatbe	2		0		level		false	false
4138	S-L2	Scheinleistung L2 +/-	VA	floatbe	2		0		level		false	false
4140	S-L3	Scheinleistung L3 +/-	VA	floatbe	2		0		level		false	false
4142	ΣS	Summe Scheinleistung +/-	VA	floatbe	2		0		level		false	false
4144	Q-L1	Blindleistung L1 +/-	var	floatbe	2		0		level		false	false
4146	Q-L2	Blindleistung L2 +/-	var	floatbe	2		0		level		false	false
4148	Q-L3	Blindleistung L3 +/-	var	floatbe	2		0		level		false	false
4150	ΣQ	Summe Blindleistung +/-	var	floatbe	2		0		level		false	false
4152	F	Frequenz	Hz	floatbe	2		0		level		false	false
4154	Phasenfolge	0,123: (CCW / rechts Drehend) 0,132: (CW / links Drehend) 0: Nicht verfügbar		floatbe	2		0		level		false	false
