_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
256	Z P+-L1	Zähler gesamte Wirkarbeit Bezug L1 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001			level		false	false
260	Z P+-L2	Zähler gesamte Wirkarbeit Bezug L2 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001			level		false	false
264	Z P+-L3	Zähler gesamte Wirkarbeit Bezug L3 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001			level		false	false
268	Z ΣP+	Zähler gesamte Wirkarbeit Bezug Σ (nicht zurücksetzbar)	kWh	uint64be	4	0,0001			level		false	false
272	Z P--L1	Zähler gesamte Wirkarbeit Abgabe L1 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001			level		false	false
276	Z P--L2	Zähler gesamte Wirkarbeit Abgabe L2 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001			level		false	false
280	Z P--L3	Zähler gesamte Wirkarbeit Abgabe L3 (nicht zurücksetzbar)	kWh	uint64be	4	0,0001			level		false	false
284	Z ΣP-	Zähler gesamte Wirkarbeit Abgabe Σ (nicht zurücksetzbar)	kWh	uint64be	4	0,0001			level		false	false
288	Z S+i-L1	Zähler gesamte Scheinarbeit Bezug induktiv L1 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
292	Z S+i-L2	Zähler gesamte Scheinarbeit Bezug induktiv L2 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
296	Z S+i-L3	Zähler gesamte Scheinarbeit Bezug induktiv L3 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
300	Z ΣS+i	Zähler gesamte Scheinarbeit Bezug induktiv Σ (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
304	Z S-i-L1	Zähler gesamte Scheinarbeit Abgabe induktiv L1 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
308	Z S-i-L2	Zähler gesamte Scheinarbeit Abgabe induktiv L2 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
312	Z S-i-L3	Zähler gesamte Scheinarbeit Abgabe induktiv L3 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
316	Z ΣS-i	Zähler gesamte Scheinarbeit Abgabe induktiv Σ (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
320	Z S+k-L1	Zähler gesamte Scheinarbeit Bezug kapazitiv L1 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
324	Z S+k-L2	Zähler gesamte Scheinarbeit Bezug kapazitiv L2 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
328	Z S+k-L3	Zähler gesamte Scheinarbeit Bezug kapazitiv L3 (nicht zurücksetzbar)	kVAh	uint64be	4	0,0001	0		level		false	false
