_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
50512	Hour	Betriebsstundenzähler 	h	uint32be	2	0,01	0		level			false
50514	U L1-L2	Leiterspannung (L1<->L2)	V	uint32be	2	0,01	0		level			false
50516	U L2-L3	Leiterspannung (L2<->L3)	V	uint32be	2	0,01	0		level			false
50518	U L3-L1	Leiterspannung (L3<->L1)	V	uint32be	2	0,01	0		level			false
50520	U L1-N	Leiterspannung (L1<->N) 	V	uint32be	2	0,01	0		level			false
50522	U L2-N	Leiterspannung (L2<->N) 	V	uint32be	2	0,01	0		level			false
50524	U L3-N	Leiterspannung (L3<->N) 	V	uint32be	2	0,01	0		level			false
50526	F	Frequenz	Hz	uint32be	2	0,01	0		level			false
50528	I-L1	Strom L1	A	uint32be	2	0,001	0		level			false
50530	I-L2	Strom L2	A	uint32be	2	0,001	0		level			false
50532	I-L3	Strom L3	A	uint32be	2	0,001	0		level			false
50534	I-N	Strom N	A	uint32be	2	0,001	0		level			false
50536	ΣP	Summe Wirkleistung +/-	W	int32be	2	10	0		level			false
50538	ΣQ	Summe Blindleistung +/-	var	int32be	2	10	0		level			false
50540	ΣS	Summe Scheinleistung +/-	VA	int32be	2	10	0		level			false
50542	ΣPF	Summe Leistungsfaktor -: kapazitiv und +: induktiv		int32be	2	0,001	0		level			false
50544	P-L1	Wirkleistung L1 +/-	W	int32be	2	10	0		level			false
50546	P-L2	Wirkleistung L2 +/-	W	int32be	2	10	0		level			false
50548	P-L3	Wirkleistung L3 +/-	W	int32be	2	10	0		level			false
50550	Q-L1	Blindleistung L1 +/-	var	int32be	2	10	0		level			false
50552	Q-L2	Blindleistung L2 +/-	var	int32be	2	10	0		level			false
50554	Q-L3	Blindleistung L3 +/-	var	int32be	2	10	0		level			false
50556	S-L1	Scheinleistung L1 +/-	VA	int32be	2	10	0		level			false
50558	S-L2	Scheinleistung L2 +/-	VA	int32be	2	10	0		level			false
50560	S-L3	Scheinleistung L3 +/-	VA	int32be	2	10	0		level			false
50562	PF-L1	Leistungsfaktor L1 -: kapazitiv und +: induktiv		int32be	2	0,001	0		level			false
50564	PF-L2	Leistungsfaktor L3 -: kapazitiv und +: induktiv		int32be	2	0,001	0		level			false
50566	PF-L3	Leistungsfaktor L3 -: kapazitiv und +: induktiv		int32be	2	0,001	0		level			false
50568	I-SYS	Mittelwert der Ströme (I1 + I2 + I3) / 3	A	uint32be	2	0,001	0		level			false
50570	U-SYS	Mittelwert der Leiterspannungen (U12 + U23 + U31) / 3	V	uint32be	2	0,01	0		level			false
50572	V-SYS	Mittelwert der Leiterspannungen gegen N (V1 + V2 + V3) / 3	V	uint32be	2	0,01	0		level			false
