_address	name	description	formula	role	room	poll	wp	cw	isScale
0	Überspannung System	OVL-N: 240 V +20 %		level		true	false	false	false
1	Überspannung L1 	OVL-N: 240 V +20 %		level		true	false	false	false
2	Überspannung L2	OVL-N: 240 V +20 %		level		true	false	false	false
3	Überspannung L3	OVL-N: 240 V +20 %		level		true	false	false	false
4	Unterspannung System 	UVL-N: 230 V -20 %		level		true	false	false	false
5	Unterspannung L1	UVL-N: 230 V -20 %		level		true	false	false	false
6	Unterspannung L2	UVL-N: 230 V -20 %		level		true	false	false	false
7	Unterspannung L3	UVL-N: 230 V -20 %		level		true	false	false	false
8	Überspannung L1-2	OVL-L: 415 V +20 %		level		true	false	false	false
9	Überspannung L2-3	OVL-L: 415 V +20 %		level		true	false	false	false
10	Überspannung L3-1	OVL-L: 415 V +20 %		level		true	false	false	false
11	Unterspannung L1-2	UVL-L: 400 V -20 %		level		true	false	false	false
12	Unterspannung L2-3	UVL-L: 400 V -20 %		level		true	false	false	false
13	Unterspannung L3-1	UVL-L: 400 V -20 %		level		true	false	false	false
16	Unterstrom I3	Strombereich < 0,001 A		level		true	false	false	false
17	Unterstrom IN	Strombereich < 0,001 A		level		true	false	false	false
24	Überstrom Isys	Strombereich > 1 A		level		true	false	false	false
25	Überstrom I1	Strombereich > 1 A		level		true	false	false	false
26	Überstrom I2	Strombereich > 1 A		level		true	false	false	false
27	Überstrom I3	Strombereich > 1 A		level		true	false	false	false
28	Überstrom IN	Strombereich > 1 A		level		true	false	false	false
29	Unterstrom Isys	Strombereich < 0,001 A		level		true	false	false	false
30	Unterstrom I1	Strombereich < 0,001 A		level		true	false	false	false
31	Unterstrom I2	Strombereich < 0,001 A		level		true	false	false	false
32	Frequenzbereich verlassen	Frequenzbereich: 45 Hz ... 65 Hz		level		true	false	false	false
