_address	deviceId	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
000	1	Device type	Geraetetyp		uint16be	1	0	0		level		true	false	false	false
001	1	ModbusAdress	ModbusAdress		uint16be	1	0	0		level		true	false	false	false
002	1	ComProtVersion	ComProtVersion		uint16be	1	0	0		level		true	false	false	false
003	1	Seriennummer	Seriennummer		string	5	0	0		state		true	false	false	false
011	1	AssistProgVersion	AssistProgVersion		uint16be	1	0	0		level		true	false	false	false
014	1	ControlPanelFirmware-2	ControlPanelFirmware-1		uint16be	1	0	0		level		true	false	false	false
015	1	ControlPanelFirmware-master	ControlPanelFirmware-master		uint16be	1	0	0		level		true	false	false	false
016	1	CommPanelFirmware-1	CommPanelFirmware0		uint16be	1	0	0		level		true	false	false	false
017	1	CommPanelFirmware-2	CommPanelFirmware-1		uint16be	1	0	0		level		true	false	false	false
018	1	CommPanelFirmware-master	CommPanelFirmware-master		uint16be	1	0	0		level		true	false	false	false
060	1	Fernsperre	Fernsperre		uint16be	1	0	0		level		true	false	false	false
080	1	SchalterModus	SchalterModus		uint16be	1	0	0		level		true	false	false	false
104	1	ZeroExport power	ZeroExport-Leistung	W	int16be	1	0	0		level		true	false	false	false
105	1	EqualizationDayCycle	EqualizationDayCycle	Day	int16be	1	0	0		level		true	false	false	false
106	1	EqualizationTime	EqualizationTime	0.5h	int16be	1	0	0		level		true	false	false	false
107	1	TEMPCO	TEMPCO	mV/C	int16be	1	0	0		level		true	false	false	false
108	1	Maximaler Ladestrom der Batterie	Maximaler Ladestrom der Batterie	A	int16be	1	0	0		level		true	false	false	false
109	1	Max A Entladung	Max A Entladung	A	int16be	1	0	0		level		true	false	false	false
111	1	BatOpMode	battery operates according to voltage or capacity 		int16be	1	0	0		level		true	false	false	false
112	1	BatWakeBit	Lithium battery wake up sign bit 		int16be	1	0	0		level		true	false	false	false
113	1	BatResistVal	battery resistance value 	mOhm	int16be	1	0	0		level		true	false	false	false
114	1	BatChargeEfficiency	Battery charging efficiency	0.1%	int16be	1	0	0		level		true	false	false	false
115	1	BatCapacityShutDown	battery capacity ShutDown	%	int16be	1	0	0		level		true	false	false	false
116	1	BatCapacityRestart	battery capacity Restart	%	int16be	1	0	0		level		true	false	false	false
117	1	BatCapacityLowBatt	battery capacityLowBatt	%	int16be	1	0	0		level		true	false	false	false
118	1	BatVoltageShutDown	battery voltageShutDown	0.01V	int16be	1	0	0		level		true	false	false	false
119	1	BatVoltageRestart	battery voltage Restart	0.01V	int16be	1	0	0		level		true	false	false	false
120	1	BatVoltageLowBatt	battery voltageLowBatt	0.01V	int16be	1	0	0		level		true	false	false	false
