_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
35100	Real-Time Clock_Year  Month	R/o High Byte Year / Low Byte Month: 0D-63 / 01-0C	Hex	rawhex	1	1	0		level		true	false	false	false
35101	Real-Time Clock_Day Hour	R/o High Byte Day/Low  Byte Hour: 01-1F / 00-17	Hex	rawhex	1	1	0		level		true	false	false	false
35102	Real-Time Clock_Minute Second	R/o High Byte  minute/Low Byte Second: 0-3B / 0-3B	Hex	rawhex	1	1	0		level		true	false	false	false
35103	PV1 Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35104	PV1 Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
35105	PV1 Power	R/o 200ms Average	W	uint32be	2	1	0		level		true	false	false	false
35107	PV2 Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35108	PV2 Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
35109	PV2 Power	R/o 200ms Average	W	uint32be	2	1	0		level		true	false	false	false
35111	PV3 Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35112	PV3 Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
35113	PV3 Power	R/o 200ms Average	W	uint32be	2	1	0		level		true	false	false	false
35115	PV4 Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35116	PV4 Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
35117	PV4 Power	R/o 200ms Average	W	uint32be	2	1	0		level		true	false	false	false
35119	PV Mode	R/o To check each MPPT mode, Table 8-3 & 8-4	Hex	rawhex	2	1	0		level		true	false	false	false
35121	R Phase Inverter Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35122	R Phase Inverter Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
35123	R Phase Inverter Frequency	R/o 	Hz	uint16be	1	0,01	0		level		true	false	false	false
35124	R Phase Inverter Power	R/o Inverter Power 200ms Average	W	int32be	2	1	0		level		true	false	false	false
35126	S Phase Inverter Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35127	S Phase Inverter Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
35128	S Phase Inverter Frequency	R/o 	Hz	uint16be	1	0,01	0		level		true	false	false	false
35129	S Phase Inverter Power	R/o Inverter Power 200ms Average	W	int32be	2	1	0		level		true	false	false	false
35131	T Phase Inverter Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35132	T Phase Inverter Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
35133	T Phase Inverter Frequency	R/o 	Hz	uint16be	1	0,01	0		level		true	false	false	false
35134	T Phase Inverter Power	R/o Inverter Power 200ms Average	W	int32be	2	1	0		level		true	false	false	false
35136	Grid Mode	R/o Grid connection status,Refer to Table 8-10		uint16be	1	1	0		level		true	false	false	false
35137	Total Inverter Power	R/o 200ms Average	W	int32be	2	1	0		level		true	false	false	false
