_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
36900	FlashPgmParaVer	R/o		uint16be	1	1	0		level		true	false	false	false
36901	FlashPgmWriteCount	R/o		uint32be	2	1	0		level		true	false	false	false
36903	FlashSysParaVer	R/o		uint16be	1	1	0		level		true	false	false	false
36904	FlashSysWriteCount	R/o		uint32be	2	1	0		level		true	false	false	false
36906	FlashBatParaVer	R/o		uint16be	1	1	0		level		true	false	false	false
36907	FlashBatWriteCount	R/o		uint32be	2	1	0		level		true	false	false	false
36909	FlashEepromVer	R/o		uint16be	1	1	0		level		true	false	false	false
36910	FlashEepromWriteCount	R/o		uint32be	2	1	0		level		true	false	false	false
36912	WiFiDataSendCount	R/o		uint16be	1	1	0		level		true	false	false	false
36913	WifiUpDataDebug	R/o		uint16be	1	1	0		level		true	false	false	false
