_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
39499	LG battery type	R/o 0: LV BAT 1:HV BAT		uint16be	1	1	0		level		true	false	false	false
39500	LG Wakeup Data analyze Flag	R/o 		uint16be	1	1	0		level		true	false	false	false
39501	LG Running Data analyze Flag	R/o 		uint16be	1	1	0		level		true	false	false	false
39502	LG Fault Data analyze Flag	R/o 		uint16be	1	1	0		level		true	false	false	false
39503	BMS1 Battery state	R/o 		uint16be	1	1	0		level		true	false	false	false
39504	BMS1 DC Bus voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
39505	BMS1 Real-time power	R/o 	W	int16be	1	1	0		level		true	false	false	false
39506	BMS1 Full pack energy available	R/o 	Wh	uint16be	1	1	0		level		true	false	false	false
39507	BMS1 Energy remaining	R/o 	Wh	uint16be	1	1	0		level		true	false	false	false
39508	BMS1 Lifetime energy charged	R/o 	Wh	uint32be	2	1	0		level		true	false	false	false
39510	BMS1 Lifetime energy discharged	R/o 	Wh	uint32be	2	1	0		level		true	false	false	false
39512	BMS1 Pack max available charge power	R/o 	W	uint16be	1	1	0		level		true	false	false	false
39513	BMS1 Pack max available discharge power	R/o 	W	uint16be	1	1	0		level		true	false	false	false
39514	BMS1 Battery voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
39515	BMS1 Battery current	R/o 	A	int16be	1	0,1	0		level		true	false	false	false
39516	BMS1 Battery max temperature	R/o 	°C	int16be	1	0,1	0		level		true	false	false	false
39517	BMS1 Battery min temperature	R/o 	°C	int16be	1	0,1	0		level		true	false	false	false
39518	BMS1 DC Bus current	R/o 	A	int16be	1	0,1	0		level		true	false	false	false
39519	BMS1 State of charge	R/o 	%	uint16be	1	0,1	0		level		true	false	false	false
39520	BMS1 State of health	R/o 	%	uint16be	1	0,1	0		level		true	false	false	false
39521	BMS1 Charge current limit	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
39522	BMS1 Discharge current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
39523	BMS1 CB status	R/o 		uint16be	1	1	0		level		true	false	false	false
39524	BMS1 Battery diagnosis result	R/o 		uint16be	1	1	0		level		true	false	false	false
39550	BMS2 Battery state	R/o 		uint16be	1	1	0		level		true	false	false	false
39551	BMS2 DC Bus voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
39552	BMS2 Real-time power	R/o 	W	int16be	1	1	0		level		true	false	false	false
39553	BMS2 Full pack energy available	R/o 	Wh	uint16be	1	1	0		level		true	false	false	false
39554	BMS2 Energy remaining	R/o 	Wh	uint16be	1	1	0		level		true	false	false	false
39555	BMS2 Lifetime energy charged	R/o 	Wh	uint32be	2	1	0		level		true	false	false	false
39557	BMS2 Lifetime energy discharged	R/o 	Wh	uint32be	2	1	0		level		true	false	false	false
39559	BMS2 Pack max available charge power	R/o 	W	uint16be	1	1	0		level		true	false	false	false
39560	BMS2 Pack max available discharge power	R/o 	W	uint16be	1	1	0		level		true	false	false	false
39561	BMS2 Battery voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
39562	BMS2 Battery current	R/o 	A	int16be	1	0,1	0		level		true	false	false	false
39563	BMS2 Battery max temperature	R/o 	°C	int16be	1	0,1	0		level		true	false	false	false
39564	BMS2 Battery min temperature	R/o 	°C	int16be	1	0,1	0		level		true	false	false	false
39565	BMS2 DC Bus current	R/o 	A	int16be	1	0,1	0		level		true	false	false	false
39566	BMS2 State of charge	R/o 	%	uint16be	1	0,1	0		level		true	false	false	false
39567	BMS2 State of health	R/o 	%	uint16be	1	0,1	0		level		true	false	false	false
39568	BMS2 Charge current limit	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
39569	BMS2 Discharge current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
39570	BMS2 CB status	R/o 		uint16be	1	1	0		level		true	false	false	false
39571	BMS2 Battery diagnosis result	R/o 		uint16be	1	1	0		level		true	false	false	false
39600	BMS1 Protocol version number	R/o 		uint16be	1	1	0		level		true	false	false	false
39601	BMS1 Battery serial number	R/o 		uint32be	2	1	0		level		true	false	false	false
39603	BMS1 DC/DC FW version1	R/o 		uint16be	1	1	0		level		true	false	false	false
