_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
45200	Real-Time Clock_Year  Month	R/W High Byte Year / Low Byte Month: 0D-63 / 01-0C	Hex	rawhex	1	1	0		level		true	false	false	false
45201	Real-Time Clock_Day Hour	R/W High Byte Day/Low  Byte Hour: 01-1F / 00-17	Hex	rawhex	1	1	0		level		true	false	false	false
45202	Real-Time Clock_Minute Second	R/W High Byte  minute/Low Byte Second: 0-3B / 0-3B	Hex	rawhex	1	1	0		level		true	false	false	false
45216	Restore Factory Setting	"W/o Choose ""Warehouse"" safety code first and then Set ""1"""		uint16be	1	1	0		level		true	false	false	false
45217	Clear Data	W/o Reset inverter accumulated data like E-total, E-day, error log running data etc.		uint16be	1	1	0		level		true	false	false	false
45220	Restart	W/o Inverter will recheck and reconnect to utility again. Inverter does not shutdown.		uint16be	1	1	0		level		true	false	false	false
45222	PV Energy-Total	R/W total PV production energy from the installation date	kWh	uint32be	2	0,1	0		level		true	false	false	false
45224	PV Energy-Day	R/W total PV production energy of the day	kWh	uint32be	2	0,1	0		level		true	false	false	false
45226	Energy-Total-Sell	R/W accumulated exporting energy to Grid from the installation date	kWh	uint32be	2	0,1	0		level		true	false	false	false
45228	Hour-Total	R/W accumulated operation hours from the installation date	h	uint32be	2	1	0		level		true	false	false	false
45230	Energy-Day-Sell	R/W accumulated exporting energy to Grid of the day	kWh	uint16be	1	0,1	0		level		true	false	false	false
45231	Energy-Total-Buy	R/W accumulated energy imported from Grid from the installation date	kWh	uint32be	2	0,1	0		level		true	false	false	false
45233	Energy-Day-Buy	R/W accumulated energy imported from Grid of the day	kWh	uint16be	1	0,1	0		level		true	false	false	false
45234	Energy-Total-Load	R/W accumulated load consumption energy from the installation date, not include backup load	kWh	uint32be	2	0,1	0		level		true	false	false	false
45236	Energy-Load-Day	R/W accumulated load consumption energy of the day, not include backup load	kWh	uint16be	1	0,1	0		level		true	false	false	false
45237	Energy-Battery Charge	R/W accumulated energy charged to Battery from the installation date, not from BMS	kWh	uint32be	2	0,1	0		level		true	false	false	false
45239	Energy-Charge-Day	R/W accumulated energy charged to Battery of the day, not from BMS	kWh	uint16be	1	0,1	0		level		true	false	false	false
45240	Energy-Battery Discharge	R/W accumulated energy Battery discharged, from the installation date, not from BMS	kWh	uint32be	2	0,1	0		level		true	false	false	false
45242	Energy-Discharge-Day	R/W accumulated energy Battery discharged, of the day, not from BMS	kWh	uint16be	1	0,1	0		level		true	false	false	false
45244	Safety Country	R/W safety code for inverter Refer to Table 8-21		rawhex	1	1	0		level		true	false	false	false
45245	ISO Limit	R/W Isolation protection threshold for the inverter	kΩ	uint16be	1	1	0		level		true	false	false	false
45246	LVRT / HVRT Enable	R/W 0:Disable (default) 1:Only Lvrt 2:Only Hvrt 3: Both Lvrt&Hvrt		uint16be	1	1	0		level		true	false	false	false
45250	PV Start Voltage	R/W start up PV Voltage of the inverter	V	uint16be	1	0,1	0		level		true	false	false	false
45251	Enable MPPT Shadow Scan	"R/W set ""1"" to activate ""Shadow Scan"" functtion"		uint16be	1	1	0		level		true	false	false	false
45252	BackUp Enable	"R/W set ""0"" to deactivate ""Backup"" functtion"		uint16be	1	1	0		level		true	false	false	false
45253	Auto Start Backup	"R/W set ""1"" to  activate ""Auto Start Backup"" functtion"		uint16be	1	1	0		level		true	false	false	false
45254	Grid Wave Check	R/W Default: 0		uint16be	1	1	0		level		true	false	false	false
45255	Rapid Cut Off	R/W Rapid shutdown to switch grid-connected systems to off-grid operation		uint16be	1	1	0		level		true	false	false	false
