_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
45400	Grid Voltage High S1	R/W 60V - 300V	V	uint16be	1	0,1	0		level		true	false	false	false
45401	Grid Voltage High S1 Time	R/W 0,02s - 1000s	s	uint16be	1	1	0	x * 2 * 0.01	level		true	false	false	false
45402	Grid Voltage Low S1	R/W 60V - 300V	V	uint16be	1	0,1	0		level		true	false	false	false
45403	Grid Voltage Low S1 Time	R/W 0,02s - 1000s	s	uint16be	1	1	0	x * 2 * 0.01	level		true	false	false	false
45404	Grid Voltage High S2	R/W 60V - 300V	V	uint16be	1	0,1	0		level		true	false	false	false
45405	Grid Voltage High S2 Time	R/W 0,02s - 1000s	s	uint16be	1	1	0	x * 2 * 0.01	level		true	false	false	false
45406	Grid Voltage Low S2	R/W 60V - 300V	V	uint16be	1	0,1	0		level		true	false	false	false
45407	Grid Voltage Low S2 Time	R/W 0,02s - 1000s	s	uint16be	1	1	0	x * 2 * 0.01	level		true	false	false	false
45408	Grid Voltage 10min	R/W 60V - 300V	V	uint16be	1	0,1	0		level		true	false	false	false
45409	Grid Frequency High S1	R/W 30Hz - 80Hz	Hz	uint16be	1	0,01	0		level		true	false	false	false
45410	Grid Frequency High S1 Time	R/W 0,02s - 1000s	s	uint16be	1	1	0	x * 2 * 0.01	level		true	false	false	false
45411	Grid Frequency Low S1	R/W 30Hz - 80Hz	Hz	uint16be	1	0,01	0		level		true	false	false	false
45412	Grid Frequency Low S1 Time	R/W 0,02s - 1000s	s	uint16be	1	1	0	x * 2 * 0.01	level		true	false	false	false
45413	Grid Frequency High S2	R/W 30Hz - 80Hz	Hz	uint16be	1	0,01	0		level		true	false	false	false
45414	Grid Frequency High S2 Time	R/W 0,02s - 1000s	s	uint16be	1	1	0	x * 2 * 0.01	level		true	false	false	false
45415	Grid Frequency Low S2	R/W 30Hz - 80Hz	Hz	uint16be	1	0,01	0		level		true	false	false	false
45416	Grid Frequency Low S2 Time	R/W 0,02s - 1000s	s	uint16be	1	1	0	x * 2 * 0.01	level		true	false	false	false
45417	Grid Connection Voltage High	R/W 60V - 300V	V	uint16be	1	0,1	0		level		true	false	false	false
45418	Grid Connection Voltage Low	R/W 60V - 300V	V	uint16be	1	0,1	0		level		true	false	false	false
45419	Grid Connection Frequency High	R/W 30Hz - 80Hz	Hz	uint16be	1	0,01	0		level		true	false	false	false
45420	Grid Connection Frequency Low	R/W 30Hz - 80Hz	Hz	uint16be	1	0,01	0		level		true	false	false	false
45421	Grid connection waiting time	R/W 1s - 1200s	s	uint16be	1	1	0		level		true	false	false	false
