_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
47505	Manufacturer Code	"R/W If using EMS, must set to ""2"""		uint16be	1	1	0		level		true	false	false	false
47509	Anti-backflow switch	R/W if inverter is >30K or in parallel, use 42004 (S32) to set maximum allowd grid output power		uint16be	1	1	0		level		true	false	false	false
47510	Anti-reverse flow allowed grid-connected power	R/W 0W - 10000W	W	int16be	1	1	0		level		true	false	false	false
47511	EMS Power Mode	R/W		uint16be	1	1	0		level		true	false	false	false
47512	EMS Power Setting	R/W 0 - 10000		uint16be	1	1	0		level		true	false	false	false
47514	Battery1 Protocol	R/W Refer to 8-33	Hex	rawhex	1	1	0		level		true	false	false	false
47515	Start Time_1	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47516	End Time_1	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47517	Battery Power Percentage_1	R/W -100% - 100%	%	int16be	1	1	0		level		true	false	false	false
47518	Work Week_1	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47519	Start Time_2	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47520	End Time_2	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47521	Battery Power Percentage_2	R/W -100% - 100%	%	int16be	1	1	0		level		true	false	false	false
47522	Work Week_2	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47523	Start Time_3	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47524	End Time_3	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47525	Battery Power Percentage_3	R/W -100% - 100%	%	int16be	1	1	0		level		true	false	false	false
47526	Work Week_3	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47527	Start Time_4	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47528	End Time_4	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47529	Battery Power Percentage_4	R/W -100% - 100%	%	int16be	1	1	0		level		true	false	false	false
47530	Work Week_4	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47531	SOC at the start of forced charging	R/W 0% - 100%	%	uint16be	1	1	0		level		true	false	false	false
47532	SOC at the stop of forced charging	R/W 0% - 100%	%	uint16be	1	1	0		level		true	false	false	false
47533	Clear battery time settings	W/o 1: Clear all economic mode settings (47515-47530) and enter self-use mode		uint16be	1	1	0		level		false	false	false	false
47539	Wifi Reset	W/o 1		uint16be	1	1	0		level		false	false	false	false
47540	Wifi Reload	W/o 1		uint16be	1	1	0		level		false	false	false	false
47542	Peak Shaving Power Limit	R/W to set the threshold of importing power, where peak-shaving acts.	W	uint32be	2	1	0		level		true	false	false	false
47544	Peak Shaving min SOC	R/W to set the mimum Battery SOC, where peak-shaving acts.	%	uint16be	1	1	0		level		true	false	false	false
47545	Fast Charge Enable switch	R/W		uint16be	1	1	0		level		true	false	false	false
47546	Fast Charge Stop SOC	R/W 0% - 100%	%	uint16be	1	1	0		level		true	false	false	false
47547	Start Time_1	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47548	End Time_1	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47549	Work Week_1	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47550	Parameter1_1	R/W ???		uint16be	1	1	0		level		true	false	false	false
47551	Parameter1_2	R/W ???		uint16be	1	1	0		level		true	false	false	false
47552	Parameter1_3	R/W 0xFF:each month	Hex	rawhex	1	1	0		level		true	false	false	false
47553	Start Time_2	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47554	End Time_2	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47555	Work Week_2	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47556	Parameter2_1	R/W ???		uint16be	1	1	0		level		true	false	false	false
47557	Parameter2_2	R/W ???		uint16be	1	1	0		level		true	false	false	false
47558	Parameter2_3	R/W 0xFF:each month	Hex	rawhex	1	1	0		level		true	false	false	false
47559	Start Time_3	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47560	End Time_3	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47561	Work Week_3	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47562	Parameter3_1	R/W ???		uint16be	1	1	0		level		true	false	false	false
47563	Parameter3_2	R/W ???		uint16be	1	1	0		level		true	false	false	false
47564	Parameter3_3	R/W ???		uint16be	1	1	0		level		true	false	false	false
47565	Start Time_4	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47566	End Time_4	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47567	Work Week_4	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47568	Parameter4_1	R/W ???		uint16be	1	1	0		level		true	false	false	false
47569	Parameter4_2	R/W ???		uint16be	1	1	0		level		true	false	false	false
47570	Parameter4_3	R/W ???		uint16be	1	1	0		level		true	false	false	false
47571	Start Time_5	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47572	End Time_5	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47573	Work Week_5	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47574	Parameter5_1	R/W ???		uint16be	1	1	0		level		true	false	false	false
47575	Parameter5_2	R/W ???		uint16be	1	1	0		level		true	false	false	false
47576	Parameter5_3	R/W ???		uint16be	1	1	0		level		true	false	false	false
47577	Start Time_6	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47578	End Time_6	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47579	Work Week_6	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47580	Parameter6_1	R/W ???		uint16be	1	1	0		level		true	false	false	false
47581	Parameter6_2	R/W ???		uint16be	1	1	0		level		true	false	false	false
47582	Parameter6_3	R/W ???		uint16be	1	1	0		level		true	false	false	false
47583	Start Time_7	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47584	End Time_7	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47585	Work Week_7	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47586	Parameter7_1	R/W ???		uint16be	1	1	0		level		true	false	false	false
47587	Parameter7_2	R/W ???		uint16be	1	1	0		level		true	false	false	false
47588	Parameter7_3	R/W ???		uint16be	1	1	0		level		true	false	false	false
47589	Start Time_8	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47590	End Time_8	R/W [0-23],[0-59] hh:mm		uint16be	1	1	0		level		true	false	false	false
47591	Work Week_8	R/W High byte FF; Low byte 0 -> 6bit means Sunday -> Saturday	Hex	rawhex	1	1	0		level		true	false	false	false
47592	Parameter8_1	R/W ???		uint16be	1	1	0		level		true	false	false	false
47593	Parameter8_2	R/W ???		uint16be	1	1	0		level		true	false	false	false
47594	Parameter8_3	R/W ???		uint16be	1	1	0		level		true	false	false	false
47595	Load Regulation Index	R/W 0:Disable 1:switching mode 2:Time manage mode 3:off-Grid load mode; only >ARM18		uint16be	1	1	0		level		true	false	false	false
47596	Load Switch Status	R/W 0/1; Load Switch Status		uint16be	1	1	0		level		true	false	false	false
47597	Backup Switch SOC Min	R/W 0% - 100% shut down the load when the battery reaches the set SOC	%	uint16be	1	1	0		level		true	false	false	false
47599	Hardware Feed Power Disable	R/W 0/1		uint16be	1	1	0		level		true	false	false	false
47600	PCS Powersave Mode	R/W 0/1 ischarge mode turn to wait when the SPI Battery disables discharge		uint16be	1	1	0		level		true	false	false	false
47601	Old Meter Protocol	R/W 0/1		uint16be	1	1	0		level		true	false	false	false
47602	DOD Holding Enable	R/W 0/1		uint16be	1	1	0		level		true	false	false	false
47604	Load Regulation or Generator Flag	R/W 0: generator 1: load safety; Dry node function configuration, default load control >ARM18		uint16be	1	1	0		level		true	false	false	false
47605	Backup Mode Enable	R/W 0/1		uint16be	1	1	0		level		true	false	false	false
47606	Max Charge Power from Gird	R/W 0% - 100%	%	uint16be	1	0,1	0		level		true	false	false	false
47609	Smart Charging Mode Enable	R/W 0/1		uint16be	1	1	0		level		true	false	false	false
47612	ECO Mode Enable	R/W 0/1		uint16be	1	1	0		level		true	false	false	false
47613	PV sell first	R/W		uint16be	1	1	0		level		true	false	false	false
47614	Battery FeedPower offset	R/W	W	uint16be	1	1	0		level		true	false	false	false
47615	Battery current coefficient	R/W 0% - 100%	%	uint16be	1	1	0		level		true	false	false	false
