_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
50000	Self check Support Flag	R/o 1: Support Self-check		uint16be	1	1	0		level		true	false	false	false
50001	Self check Function Version	R/o First version is 0		uint16be	1	1	0		level		true	false	false	false
50002	Self check Function1	R/o Refer to table 8-101	Hex	rawhex	1	1	0		level		true	false	false	false
50003	Self check Function2	R/o	Hex	rawhex	1	1	0		level		true	false	false	false
50004	Self check Function3	R/o	Hex	rawhex	1	1	0		level		true	false	false	false
50005	Self check Function4	R/o	Hex	rawhex	1	1	0		level		true	false	false	false
50006	Self check Function5	R/o	Hex	rawhex	1	1	0		level		true	false	false	false
50007	Self check Function6	R/o	Hex	rawhex	1	1	0		level		true	false	false	false
50008	Self check Function7	R/o	Hex	rawhex	1	1	0		level		true	false	false	false
50009	Self check Function8	R/o	Hex	rawhex	1	1	0		level		true	false	false	false
50010	PV1 Connect Status	R/o 0: Disconnected, 1: Connected, 2: Overvoltage, 3: Reversed		uint16be	1	1	0		level		true	false	false	false
50011	PV1 Voltage	R/o	V	int16be	1	0,1	0		level		true	false	false	false
50012	PV1 Current	R/o	A	int16be	1	0,1	0		level		true	false	false	false
50013	PV2 Connect Status	R/o 0: Disconnected, 1: Connected, 2: Overvoltage, 3: Reversed		uint16be	1	1	0		level		true	false	false	false
50014	PV2 Voltage	R/o	V	int16be	1	0,1	0		level		true	false	false	false
50015	PV2 Current	R/o	A	int16be	1	0,1	0		level		true	false	false	false
50016	PV3 Connect Status	R/o 0: Disconnected, 1: Connected, 2: Overvoltage, 3: Reversed		uint16be	1	1	0		level		true	false	false	false
50017	PV3 Voltage	R/o	V	int16be	1	0,1	0		level		true	false	false	false
50018	PV3 Current	R/o	A	int16be	1	0,1	0		level		true	false	false	false
50019	PV4 Connect Status	R/o 0: Disconnected, 1: Connected, 2: Overvoltage, 3: Reversed		uint16be	1	1	0		level		true	false	false	false
50020	PV4 Voltage	R/o	V	int16be	1	0,1	0		level		true	false	false	false
50021	PV4 Current	R/o	A	int16be	1	0,1	0		level		true	false	false	false
50022	PV5 Connect Status	R/o 0: Disconnected, 1: Connected, 2: Overvoltage, 3: Reversed		uint16be	1	1	0		level		true	false	false	false
50023	PV5 Voltage	R/o	V	int16be	1	0,1	0		level		true	false	false	false
50024	PV5 Current	R/o	A	int16be	1	0,1	0		level		true	false	false	false
50025	PV6 Connect Status	R/o 0: Disconnected, 1: Connected, 2: Overvoltage, 3: Reversed		uint16be	1	1	0		level		true	false	false	false
50026	PV6 Voltage	R/o	V	int16be	1	0,1	0		level		true	false	false	false
50027	PV6 Current	R/o	A	int16be	1	0,1	0		level		true	false	false	false
50028	PV7 Connect Status	R/o 0: Disconnected, 1: Connected, 2: Overvoltage, 3: Reversed		uint16be	1	1	0		level		true	false	false	false
50029	PV7 Voltage	R/o	V	int16be	1	0,1	0		level		true	false	false	false
50030	PV7 Current	R/o	A	int16be	1	0,1	0		level		true	false	false	false
50031	PV8 Connect Status	R/o 0: Disconnected, 1: Connected, 2: Overvoltage, 3: Reversed		uint16be	1	1	0		level		true	false	false	false
