Value	Power Factor	Description
1	-0,99	lagging
2	-0,98	lagging
3	-0,97	lagging
4	-0,96	lagging
5	-0,95	lagging
6	-0,94	lagging
7	-0,93	lagging
8	-0,92	lagging
9	-0,91	lagging
10	-0,9	lagging
11	-0,89	lagging
12	-0,88	lagging
13	-0,87	lagging
14	-0,86	lagging
15	-0,85	lagging
16	-0,84	lagging
17	-0,83	lagging
18	-0,82	lagging
19	-0,81	lagging
20	-0,8	lagging
		
80	0,8	leading
81	0,81	leading
82	0,82	leading
83	0,83	leading
84	0,84	leading
85	0,85	leading
86	0,86	leading
87	0,87	leading
88	0,88	leading
89	0,89	leading
90	0,9	leading
91	0,91	leading
92	0,92	leading
93	0,93	leading
94	0,94	leading
95	0,95	leading
96	0,96	leading
97	0,97	leading
98	0,98	leading
99	0,99	leading
100	1	
