_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
10418	Meter Power	R/o Refer to 36025-36026	W	int32be	2	1	0		level		true	false	false	false
10434	Meter Frequence	R/o Refer to 36014	Hz	uint16be	1	0,01	0		level		true	false	false	false
10476	Battery rechargeable watt hours	R/o 	W/h	uint32be	2	1	0		level		true	false	false	false
10478	Battery dischargeable watt hours	R/o 	W/h	uint32be	2	1	0		level		true	false	false	false
10480	AbleBalanceFlag	R/o 0: Need to be averaged 1: No need to be averaged		uint16be	1	1	0		level		true	false	false	false
10481	Meter Active Power R	R/o Refer to 36127	W	int32be	2	1	0		level		true	false	false	false
10483	Meter Active Power S	R/o Refer to 36129	W	int32be	2	1	0		level		true	false	false	false
10485	Meter Active Power T	R/o Refer to 36131	W	int32be	2	1	0		level		true	false	false	false
35000	Modbus protocol version	R/o 		uint16be	1	1	0		level		true	false	false	false
35001	Rate Power	R/o 	W	uint16be	1	1	0		level		true	false	false	false
35002	AC output type	R/o 0:single phase 1: three phase four wire system 2: three phase three wire system		uint16be	1	1	0		level		true	false	false	false
35003	Inverter SN	R/o 		string	8	1	0		level		true	false	false	false
35011	Model Name	R/o 		string	5	1	0		level		true	false	false	false
35016	Firmware Version_DSP_Master	R/o 		uint16be	1	1	0		level		true	false	false	false
35017	Firmware Version_DSP_Slave	R/o 		uint16be	1	1	0		level		true	false	false	false
35018	Beta Version_DSP_Master	R/o SVN version number of the master DSP		uint16be	1	1	0		level		true	false	false	false
35019	Firmware Version_ARM	R/o 		uint16be	1	1	0		level		true	false	false	false
35020	Beta Version_ARM	R/o (minor version number)		uint16be	1	1	0		level		true	false	false	false
35021	DSP Internal Firmware Ver.	R/o 		string	6	1	0		level		true	false	false	false
35027	ARM Internal Firmware Ver.	R/o 		string	6	1	0		level		true	false	false	false
35044	Beta Version_DSP_Slave	R/o 		uint16be	1	1	0		level		true	false	false	false
35100	Real-Time Clock_Year  Month	R/o High Byte Year / Low Byte Month: 0D-63 / 01-0C	Hex	rawhex	1	1	0		level		true	false	false	false
35101	Real-Time Clock_Day Hour	R/o High Byte Day/Low  Byte Hour: 01-1F / 00-17	Hex	rawhex	1	1	0		level		true	false	false	false
35102	Real-Time Clock_Minute Second	R/o High Byte  minute/Low Byte Second: 0-3B / 0-3B	Hex	rawhex	1	1	0		level		true	false	false	false
35103	PV1 Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35104	PV1 Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
35105	PV1 Power	R/o 200ms Average	W	uint32be	2	1	0		level		true	false	false	false
35107	PV2 Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35108	PV2 Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
35109	PV2 Power	R/o 200ms Average	W	uint32be	2	1	0		level		true	false	false	false
35111	PV3 Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35112	PV3 Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
35113	PV3 Power	R/o 200ms Average	W	uint32be	2	1	0		level		true	false	false	false
35115	PV4 Voltage	R/o 	V	uint16be	1	0,1	0		level		true	false	false	false
35116	PV4 Current	R/o 	A	uint16be	1	0,1	0		level		true	false	false	false
