_address	deviceId	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
40004	3	Mn	Manufacturer		string	30	0	0		level		true	false	false	false
40020	3	Md	Model		string	30	0	0		level		true	false	false	false
40044	3	Vr	Version		string	30	0	0		level		true	false	false	false
40052	3	SN	Serial Number		string	30	0	0		level		true	false	false	false
40072	3	A	Amps	A	uint16be	1	0.01	0		level		true	false	false	false
40073	3	AphA	Amps PhaseA	A	uint16be	1	0.01	0		level		true	false	false	false
40074	3	AphB	Amps PhaseB	A	uint16be	1	0.01	0		level		true	false	false	false
40075	3	AphC	Amps PhaseC	A	uint16be	1	0.01			level		true	false	false	false
40077	3	PPVphAB	Phase Voltage AB	V	uint16be	1	0.1	0		level		true	false	false	false
40078	3	PPVphBC	Phase Voltage BC	V	uint16be	1	0.1	0		level		true	false	false	false
40079	3	PPVphCA	Phase Voltage CA	V	uint16be	1	0.1	0		level		true	false	false	false
40080	3 	PhVphA	Phase Voltage AN	V	uint16be	1	0.1	0		level		true	false	false	false
40081	3	PhVphB	Phase Voltage BN	V	uint16be	1	0.1	0		level		true	false	false	false
40082	3	PhVphC	Phase Voltage CN	V	uint16be	1	0.1	0		level		true	false	false	false
40084	3	W	Watts	W	uint16be	1	10	0		level		true	false	false	false
40086	3	Hz	Hz	Hz	uint16be	1	0.01	0		level		true	false	false	false
40088	3	VA	VA	VA	uint16be	1	10	0		level		true	false	false	false
40092	3	PF	Power Factor	%	uint16be	1	0.0001	0		level		true	false	false	false
40094	3	WH	WattHours	Wh	uint32be	2	1	0		level		true	false	false	false
40277	3	TotWhInj	Total Energy Injected	Wh	uint32be	2	1	0		level		true	false	false	false
40294	3	TmpCab	Cabinet Temperature	°C	uint16be	1	0.1	0		level		true	false	false	false
40295	3	TmpSnk	Heat Sink Temperature	°C	uint16be	1	0.1	0		level		true	false	false	false
40299	3	WL1	Watts L1	W	uint16be	1	10	0		level		true	false	false	false
40300	3	VAL1	VA L1	VA	uint16be	1	0	0		level		true	false	false	false
40303	3	AL1	Amps L1	A	uint16be	1	0.01	0		level		true	false	false	false
40304	3	V1L2	Phase Voltage L1-L2	V	uint16be	1	0.1	0		level		true	false	false	false
40305	3	VL1	Phase Voltage L1-N	V	uint16be	1	0	0		level		true	false	false	false
40322	3	WL2	Watts L2	W	uint16be	1	10	0		level		true	false	false	false
40323	3	VAL2	VA L2	VA	uint16be	1	0	0		level		true	false	false	false
40326	3	AL2	Amps L1	A	uint16be	1	0.01	0		level		true	false	false	false
40327	3	V2L3	Phase Voltage L2-L3	V	uint16be	1	0.1	0		level		true	false	false	false
40328	3	VL1	Phase Voltage L2-N	V	uint16be	1	0	0		level		true	false	false	false
40345	3	WL3	Watts L3	W	uint16be	1	10	0		level		true	false	false	false
40346	3	VAL3	VA L3	VA	uint16be	1	10	0		level		true	false	false	false
40349	3	AL3	Amps L3	A	uint16be	1	0.01	0		level		true	false	false	false
40350	3	V2L3	Phase Voltage L3-L1	V	uint16be	1	0.1	0		level		true	false	false	false
40351	3	VL1	Phase Voltage L3-N	V	uint16be	1	0.1	0		level		true	false	false	false
40562	3	DCA1	DC Current String 1	A	uint16be	1	0.01	0		level		true	false	false	false
40563	3	DCV1	DC Voltage String 1	V	uint16be	1	0.1	0		level		true	false	false	false
40564	3	DCW1	DC Power String 1	W	uint16be	1	10	0		level		true	false	false	false
40573	3	Tmp1	DC Port Temperatur 1	°C	uint16be	1	0	0		level		true	false	false	false
40587	3	DCA2	DC Current String 2	A	uint16be	1	0.01	0		level		true	false	false	false
40588	3	DCV2	DC Voltage String 2	V	uint16be	1	0.1	0		level		true	false	false	false
40589	3	DCW2	DC Power String 2	W	uint16be	1	10	0		level		true	false	false	false
40598	3	Tmp2	DC Port Temperature 2	°C	uint16be	1	0	0		level		true	false	false	false
