_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
2	MODBUS Enable	MODBUS Enable		uint8be	1	1	0		value		true	false	false	false
4	MODBUS Unit-ID	MODBUS Unit-ID		uint16be	1	1	0		value		true	false	false	false
6	Inverter article number	Inverter article number		string	4	1	0		value		true	false	false	false
30	Number of bidirectional converter	Number of bidirectional converter		uint16be	1	1	0		value		true	false	false	false
32	Number of AC phases	Number of AC phases		uint16be	1	1	0		value		true	false	false	false
34	Number of PV strings	Number of PV strings		uint16be	1	1	0		value		true	false	false	false
54	Power-ID	Power-ID		uint32be	2	1	0		level		true	false	false	false
56	Inverter state	Inverter state		uint32be	2	1	0		state		true	false	false	false
100	Total DC power	Total DC power	W	floatbe	2	1	0		value		true	false	false	false
104	State of energy manager	State of energy manager		floatbe	2	1	0		state		true	false	false	false
106	Home own consumption from battery	Home own consumption from battery	W	floatbe	2	1	0		value		false	false	false	false
108	Home own consumption from grid	Home own consumption from grid	W	floatbe	2	1	0		value		true	false	false	false
110	Total home consumption Battery	Total home consumption Battery	Wh	floatbe	2	1	0		value		false	false	false	false
112	Total home consumption Grid	Total home consumption Grid	Wh	floatbe	2	1	0		value		true	false	false	false
114	Total home consumption PV	Total home consumption PV	Wh	floatbe	2	1	0		value		true	false	false	false
116	Home own consumption from PV	Home own consumption from PV	W	floatbe	2	1	0		value		true	false	false	false
118	Total home consumption	Total home consumption	Wh	floatbe	2	1	0		value		true	false	false	false
120	Isolation resistance	Isolation resistance	Ohm	floatbe	2	1	0		value		true	false	false	false
122	Power limit from EVU	Power limit from EVU	%	floatbe	2	1	0		value		true	false	false	false
124	Total home consumption rate	Total home consumption rate	%	floatbe	2	1	0		value		true	false	false	false
144	Worktime	Worktime	s	floatbe	2	1	0		value		true	false	false	false
150	Actual cos	Actual cos		floatbe	2	1	0		value		true	false	false	false
152	Grid frequency	Grid frequency	Hz	floatbe	2	1	0		value		true	false	false	false
154	Current Phase 1	Current Phase 1	A	floatbe	2	1	0		value		true	false	false	false
156	Active power Phase 1	Active power Phase 1	W	floatbe	2	1	0		value		true	false	false	false
158	Voltage Phase 1	Voltage Phase 1	V	floatbe	2	1	0		value		true	false	false	false
160	Current Phase 2	Current Phase 2	A	floatbe	2	1	0		value		true	false	false	false
162	Active power Phase 2	Active power Phase 2	W	floatbe	2	1	0		value		true	false	false	false
164	Voltage Phase 2	Voltage Phase 2	V	floatbe	2	1	0		value		true	false	false	false
166	Current Phase 3	Current Phase 3	A	floatbe	2	1	0		value		true	false	false	false
168	Active power Phase 3	Active power Phase 3	W	floatbe	2	1	0		value		true	false	false	false
170	Voltage Phase 3	Voltage Phase 3	V	floatbe	2	1	0		value		true	false	false	false
172	Total AC active power	Total AC active power	W	floatbe	2	1	0		value		true	false	false	false
174	Total AC reactive power	Total AC reactive power	Var	floatbe	2	1	0		value		true	false	false	false
178	Total AC apparent power	Total AC apparent power	VA	floatbe	2	1	0		value		true	false	false	false
190	Battery charge current	Battery charge current	A	floatbe	2	1	0		value		true	false	false	false
