_address	name	description	unit	type	len	factor	offset	formula	role	room	cw	isScale
30005	Parameter.Seriennummer	Seriennummer		uint32be	2				level		false	false
30201	Measurement.Operation.Health	Zustand		uint32be	2				level		false	false
30219	Grund der Leistungsreduzierung	Measurement.Operation.DrtStt		uint32be	2				level		false	false
30225	Measurement.Isolation.LeakRis	Isolationswiderstand	MOhm	uint32be	2	0.000001		x<0?0:x*0.000001	level		false	false
30513	Measurement.TotWhOut	Gesamtertrag	kWh	uint64be	4	0,001			level		false	false
30521	Measurement.Metering.TotOpTms	Betriebszeit	s	uint64be	4				level		false	false
30525	Einspeisezeit	Measurement.Metering.TotFeedTms	s	uint64be	4				level		false	false
30769	Measurement.DcMs.Amp.A	DC Strom Eingang A	A	int32be	2	0,001		x<-1000?0:x*0.001	level		false	false
30771	Measurement.DcMs.Vol.A	DC Spannung Eingang A	V	int32be	2	0,01		x<0?0:x*0.01	level		false	false
30773	Measurement.DcMs.Watt.A	DC Leistung Eingang A	W	int32be	2				level		false	false
30775	Measurement.GridMs.TotW	Leistung	W	int32be	2	1	0	x<0?0:x	level		false	false
30777	Measurement.GridMs.W.phsA	Leistung L1	W	int32be	2	1		x<0?0:x	level		false	false
30779	Measurement.GridMs.W.phsB	Leistung L2	W	int32be	2	1		x<0?0:x	level		false	false
30781	Measurement.GridMs.W.phsC	Leistung L2	W	int32be	2	1		x<0?0:x	level		false	false
30783	Measurement.GridMs.PhV.phsA	Netzspannung Phase L1	V	uint32be	2	0,01		x>100000?0:x*0.01	level		false	false
30785	Measurement.GridMs.PhV.phsB	Netzspannung Phase L2	V	uint32be	2	0,01		x>100000?0:x*0.01	level		false	false
30787	Measurement.GridMs.PhV.phsC	Netzspannung Phase L3	V	uint32be	2	0,01		x>100000?0:x*0.01	level		false	false
30789	Measurement.GridMs.PhV.phsA2B	Netzspannung Phase L1 gegen L2	V	uint32be	2	0,01		x>100000?0:x*0.01	level		false	false
30791	Measurement.GridMs.PhV.phsB2C	Netzspannung Phase L2 gegen L3	V	uint32be	2	0,01		x>100000?0:x*0.01	level		false	false
