_address	deviceId	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
97345	1	Export_Control_Mode	Export Control Mode		uint16be	1	1	0		level		true	false	false	
97347	1	Export_Control_Site_Limit	Export Control Site Limit	W	floatsw	2	1	0		level		true	false	false	
97709	1	Battery_1_Average_Temperature	Battery 1 Average Temperature	C°	floatsw	2	1	0		level		true	false	false	
97711	1	Battery_1_Max_Temperature	Battery 1 Max Temperature	C°	floatsw	2	1	0		level		false	false	false	
97713	1	Battery_1_Instantaneous_Voltage	Battery 1 Instantaneous Voltage	V	floatsw	2	1	0		level		true	false	false	
97717	1	Battery_1_Instantaneous_Power	Battery 1 Instantaneous Power	W	floatsw	2	1	0		level		true	false	false	
97719	1	Battery_1_Lifetime_Export_Energy_Counter	Battery 1 Lifetime Export Energy Counter	Wh	uint32sw	2	1	0		level		true	false	false	
97723	1	Battery_1_Lifetime_Import_Energy_Counter	Battery 1 Lifetime Import Energy Counter	Wh	uint32sw	2	1	0		level		true	false	false	
97731	1	Battery_1_State_of_Health	Battery 1 State of Health (SOH)	%	floatsw	2	1	0		level		false	false	false	
97733	1	Battery_1_State_of_Energy	Battery 1 State of Energy (SOE)	%	floatsw	2	1	0		level		true	false	false	
97735	1	Battery_1_Status	Battery 1 Status		uint32sw	2	1	0		level		true	false	false	
97737	1	Battery_1_Status_Internal	Battery 1 Status Internal		uint32sw	2	1	0		level		true	false	false	
101441	1	RRCR_State	RRCR State		uint16be	1	1	0		level		true	false	false	
101442	1	Active_Power_Limit	Active Power Limit	%	uint16be	1	1	0		level		true	true	false	
101697	1	Commit_Power_Control_Settings	Commit Power Control Settings		int16be	1	1	0		level		true	true	false	
101701	1	ReactivePwrConfig	Reactive Power Config		int32sw	2	1	0		level		true	true	false	
101763	1	AdvancedPwrControlEn	Advanced Power Control Enable		int32sw	2	1	0		level		true	false	false	
40005	1	C_Manufacturer	Inverter Manufacturer		string	16	1	0		level		false	false	false	
40021	1	C_Model	Inverter Model		string	16	1	0		level		false	false	false	
