_address	name	description	unit	type	len	factor	offset	formula	role	room	poll	wp	cw	isScale
40001	SunSpecID	C_SunSpec_ID		uint32be	2	1	0		state		true	false	false	false
40003	SunSpecDID	C_SunSpec_DID		uint16be	1	1	0		state		true	false	false	false
40004	SunSpecLength	C_SunSpec_Length		uint16be	1	1	0		state		true	false	false	false
40005	Manufacturer	C_Manufacturer		string	16	1	0		state		true	false	false	false
40021	Model	C_Model		string	16	1	0		state		true	false	false	false
40045	Version	C_Version		string	8	1	0		state		true	false	false	false
40053	SerialNumber	C_SerialNumber		string	16	1	0		state		true	false	false	false
40069	DeviceAddress	C_DeviceAddress		uint16be	1	1	0		state		true	false	false	false
40070	PhaseTypes	C_SunSpec_DID		uint16be	1	1	0		state		true	false	false	false
40071	SunSpecLength	C_SunSpec_Length		uint16be	1	1	0		state		true	false	false	false
40072	CurrentTotal	I_AC_Current	A	uint16be	1	1	0	x * Math.pow(10, sf['40076'])	value		true	false	false	false
40073	CurrentL1	I_AC_CurrentA	A	uint16be	1	1	0	x * Math.pow(10, sf['40076'])	value		true	false	false	false
40074	CurrentL2	I_AC_CurrentB	A	uint16be	1	1	0	x * Math.pow(10, sf['40076'])	value		true	false	false	false
40075	CurrentL3	I_AC_CurrentC	A	uint16be	1	1	0	x * Math.pow(10, sf['40076'])	value		true	false	false	false
40076	CurrentSF	I_AC_Current_SF		int16be	1	1	0		state		true	false	false	true
40080	VoltageL1N	I_AC_VoltageAN	V	uint16be	1	1	0	x * Math.pow(10, sf['40083'])	value		true	false	false	false
40081	VoltageL2N	I_AC_VoltageBN	V	uint16be	1	1	0	x * Math.pow(10, sf['40083'])	value		true	false	false	false
40082	VoltageL3N	I_AC_VoltageCN	V	uint16be	1	1	0	x * Math.pow(10, sf['40083'])	value		true	false	false	false
40083	VoltageSF	I_AC_Voltage_SF		int16be	1	1	0		state		true	false	false	true
40084	Power	I_AC_Power	W	uint16be	1	1	0	x * Math.pow(10, sf['40085'])	value		true	false	false	false
40085	PowerSF	I_AC_Power_SF		int16be	1	1	0		state		true	false	false	true
40086	Frequency	I_AC_Frequency	Hz	uint16be	1	1	0	x * Math.pow(10, sf['40087'])	value		true	false	false	false
40087	FrequencySF	I_AC_Frequency_SF		int16be	1	1	0		state		true	false	false	true
40088	VA	I_AC_VA	VA	int16be	1	1	0	x * Math.pow(10, sf['40089'])	value		true	false	false	false
40089	VASF	I_AC_VA_SF		int16be	1	1	0		state		true	false	false	true
40090	VAR	I_AC_VAR	VAR	int16be	1	1	0	x * Math.pow(10, sf['40091'])	value		true	false	false	false
40091	VARSF	I_AC_VAR_SF		int16be	1	1	0		state		true	false	false	true
40092	PF	I_AC_PF	%	int16be	1	1	0	x * Math.pow(10, sf['40093'])	value		true	false	false	false
40093	PFSF	I_AC_PF_SF		int16be	1	1	0		state		true	false	false	true
40094	TotalEnergy	I_AC_Energy_WH	Wh	uint32be	2	1	0	x * Math.pow(10, sf['40096'])	value		true	false	false	false
40096	TotalEnergySF	I_AC_Energy_WH_SF		int16be	1	1	0		state		true	false	false	true
40097	DCCurrent	I_DC_Current	A	uint16be	1	1	0	x * Math.pow(10, sf['40098'])	value		true	false	false	false
40098	DCCurrentSF	I_DC_Current_SF		int16be	1	1	0		state		true	false	false	true
